,command,neutralization,decay,truncation,sharpe,fitness,turnover,weight,subsharpe,correlation
57,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Industry,10,0.01,1.99,0.8,55.4,Weight is well distributed over instruments.,1.62,-1
58,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Sector,10,0.01,1.98,0.84,56.05,Weight is well distributed over instruments.,1.62,-1
59,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Market,10,0.01,1.78,0.8,56.39,Weight is well distributed over instruments.,1.54,-1
60,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Subindustry,10,0.08,2.19,0.85,54.62,Weight is well distributed over instruments.,1.67,-1
61,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Industry,10,0.08,1.99,0.8,55.4,Weight is well distributed over instruments.,1.62,-1
62,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Sector,10,0.08,1.98,0.84,56.05,Weight is well distributed over instruments.,1.62,-1
63,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 2))))",Market,10,0.08,1.78,0.8,56.39,Weight is well distributed over instruments.,1.54,-1
64,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Subindustry,10,0.01,2.15,0.83,54.65,Weight is well distributed over instruments.,1.66,-1
65,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Industry,10,0.01,1.96,0.78,55.44,Weight is well distributed over instruments.,1.61,-1
66,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Sector,10,0.01,1.96,0.83,56.1,Weight is well distributed over instruments.,1.62,-1
67,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Market,10,0.01,1.77,0.8,56.44,Weight is well distributed over instruments.,1.53,-1
68,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Subindustry,10,0.08,2.15,0.83,54.65,Weight is well distributed over instruments.,1.66,-1
69,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Sector,10,0.08,1.96,0.83,56.1,Weight is well distributed over instruments.,1.62,-1
70,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 3))))",Market,10,0.08,1.77,0.8,56.44,Weight is well distributed over instruments.,1.53,-1
71,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Subindustry,10,0.01,2.13,0.82,54.67,Weight is well distributed over instruments.,1.62,-1
72,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Industry,10,0.01,1.95,0.78,55.46,Weight is well distributed over instruments.,1.59,-1
73,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Sector,10,0.01,1.97,0.84,56.13,Weight is well distributed over instruments.,1.6,-1
74,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Market,10,0.01,1.77,0.8,56.49,Weight is well distributed over instruments.,1.53,-1
75,"rank(0 - (1 * ((close - vwap) / ts_decay_linear(rank(ts_arg_max(close, 10)), 5))))",Subindustry,10,0.08,2.13,0.82,54.67,Weight is well distributed over instruments.,1.62,-1
